name,year,on,tech,area,c_area,power,c_power,freq,gops,c_gops,gsyops,c_gsyops,power_eff,c_power_eff,area_eff,c_area_eff,gsyops_eff,c_gsyops_eff,area_eff_sy,c_area_eff_sy,precision,inference,training,acc_target,company,link
IMPULSE,2021,ASIC,65,0.089,False,0.201,False,200.0,0.2,False,,False,990.0,False,2.24,False,,False,,False,Bit 6/11,True,True,SNN,,https://ieeexplore.ieee.org/abstract/document/9466245
VSA,2021,simulated,40,,False,88.968,False,500.0,2304.0,False,,False,25900.0,False,,False,,False,,False,Bit 1,True,True,SNN,,https://ieeexplore.ieee.org/abstract/document/9401181
,2021,simulated,65,,False,478.0,False,250.0,576.0,False,,False,1205.0,False,,False,,False,,False,INT 8/9,True,False,CNN,,https://ieeexplore.ieee.org/abstract/document/9401287
Ethos-N78,2021,ASIC,,,False,,False,,10000.0,False,,False,,False,,False,,False,,False,INT 8/16,True,False,CNN; LSTM; RNN,ARM,https://www.arm.com/products/silicon-ip-cpu/ethos/ethos-n78
KL530,2021,ASIC,,,False,500.0,False,,1000.0,False,,False,2000.0,True,,False,,False,,False,INT 4/8,True,,CNN; LSTM; RNN; Transformer,Kneron,https://www.kneron.com/solutions/soc/
q16,2021,ASIC,16,256.0,False,5500.0,False,1000.0,64000.0,False,,False,11636.36,True,253.91,False,,False,,False,Multi,True,,DNN,quadric,https://www.quadric.io/technology/devkit
M1076 AMP,2021,ASIC,,294.5,False,4000.0,False,,25000.0,False,,False,6250.0,True,84.889,False,,False,,False,INT 4/8/16,True,False,DNN,Mythic,https://mythic.ai/products/m1076-analog-matrix-processor/
VE2002,2021,ASIC,7,,False,6000.0,False,,5000.0,False,,False,833.33,True,,False,,False,,False,INT 4/8| BFP 16,True,False,DNN; CNN,Xilinx,https://www.xilinx.com/products/silicon-devices/acap/versal-ai-edge.html
VE2102,2021,ASIC,7,,False,7000.0,False,,8000.0,False,,False,1142.86,True,,False,,False,,False,INT 4/8| BFP 16,True,False,DNN; CNN,Xilinx,https://www.xilinx.com/products/silicon-devices/acap/versal-ai-edge.html
RedMulE,2022,simulated,22,0.5,False,43.5,False,476.0,30.0,False,,False,688.0,False,60.0,True,,False,,False,FP 16,True,,GEMM,,https://ieeexplore.ieee.org/abstract/document/9774759
DOTA,2022,simulated,22,2.746,False,3020.0,False,100.0,2048.0,True,,False,678.146,True,745.812,True,,False,,False,INT 2/4/8| FxP 16,True,False,Transformer,,https://dl.acm.org/doi/10.1145/3503222.3507738
EcoFlow,2022,simulated,45,,False,332.0,False,200.0,39.0,True,,False,117.47,True,,False,,False,,False,BFP 16,True,True,CNN; GAN,,https://arxiv.org/abs/2202.02310
FINGERS,2022,simulated,28,18.68,True,3682.0,True,1000.0,,False,,False,,False,,False,,False,,False,,True,,Graph Mining,,https://dl.acm.org/doi/10.1145/3503222.3507730
DTQAtten,2022,simulated,40,1.41,False,,False,1000.0,952.8,False,,False,,False,678.4,False,,False,,False,Bit 4/8,True,False,Transformer,,https://ieeexplore.ieee.org/abstract/document/9774692
,2022,simulated,28,0.89,False,149.3,False,500.0,,False,,False,,False,,False,,False,,False,,True,True,SNN,,https://ieeexplore.ieee.org/abstract/document/9491036
Skydiver,2022,FPGA,,,False,960.0,False,200.0,,False,22.6,False,,False,,False,19.3,False,,False,,True,,SNN,,https://ieeexplore.ieee.org/abstract/document/9733037
DIMMining,2022,simulated,32,0.382,False,105.82,False,500.0,,False,,False,,False,,False,,False,,False,,True,,Graph Mining,,https://dl.acm.org/doi/10.1145/3470496.3527388
MeNDA-PU,2022,simulated,40,7.1,False,92.4,False,800.0,,False,,False,,False,,False,,False,,False,,True,,SpMatrix Transposition,,https://dl.acm.org/doi/10.1145/3470496.3527432
Ubrain,2022,simulated,32,4.0,False,45.0,False,400.0,,False,,False,,False,,False,,False,,False,Bit 8/10,True,False,DNN; CNN; RNN,,https://dl.acm.org/doi/10.1145/3470496.3527401
Mokey,2022,simulated,65,23.9,False,4478.0,True,1000.0,,False,,False,,False,,False,,False,,False,FxP 16,True,False,Transformer,,https://dl.acm.org/doi/10.1145/3470496.3527438
HP-LeOPArd,2022,simulated,65,3.47,False,,False,800.0,574.1,False,,False,,False,165.5,False,,False,,False,Bit 16,True,,Attention,,https://dl.acm.org/doi/10.1145/3470496.3527423
